COUNTRY,FA20 UND,FA20 GRAD,FA20 PROF,FA20 F,FA20 M,FA20 UNK,FA20 ALL,,,,,,,,,,,,,,,
Albania ,0,1,0,1,0,0,1,,,,,,,,,,,,,,,
Algeria ,0,2,0,1,1,0,2,,,,,,,,,,,,,,,
Antigua and Barbuda ,1,0,0,0,1,0,1,,,,,,,,,,,,,,,
Argentina ,2,10,0,5,7,0,12,,,,,,,,,,,,,,,
Armenia ,0,2,0,1,1,0,2,,,,,,,,,,,,,,,
Australia ,12,6,0,8,10,0,18,,,,,,,,,,,,,,,
Austria ,1,3,0,3,1,0,4,,,,,,,,,,,,,,,
Bahrain ,0,1,0,1,0,0,1,,,,,,,,,,,,,,,
Bangladesh ,4,60,0,21,43,0,64,,,,,,,,,,,,,,,
Belarus ,0,1,1,2,0,0,2,,,,,,,,,,,,,,,
Belgium ,5,0,0,0,5,0,5,,,,,,,,,,,,,,,
Belize ,3,0,0,1,2,0,3,,,,,,,,,,,,,,,
Benin ,0,7,0,1,6,0,7,,,,,,,,,,,,,,,
Bolivia ,1,3,0,2,2,0,4,,,,,,,,,,,,,,,
Brazil ,18,76,0,30,64,0,94,,,,,,,,,,,,,,,
Bulgaria ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Burkina Faso ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Cameroon ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Canada ,45,57,1,35,68,0,103,,,,,,,,,,,,,,,
Chile ,1,11,0,4,8,0,12,,,,,,,,,,,,,,,
China ,2844,2344,12,1978,3220,2,5200,,,,,,,,,,,,,,,
Colombia ,2,37,0,15,24,0,39,,,,,,,,,,,,,,,
Congo (Kinshasa) ,4,1,0,1,4,0,5,,,,,,,,,,,,,,,
Costa Rica ,0,5,0,2,3,0,5,,,,,,,,,,,,,,,
Cote D Ivoire ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Croatia ,2,0,0,1,1,0,2,,,,,,,,,,,,,,,
Cyprus ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Denmark ,1,1,0,1,1,0,2,,,,,,,,,,,,,,,
Dominican Republic ,0,7,0,4,3,0,7,,,,,,,,,,,,,,,
Ecuador ,2,18,0,7,13,0,20,,,,,,,,,,,,,,,
Egypt ,3,25,0,8,20,0,28,,,,,,,,,,,,,,,
El Salvador ,0,4,0,2,2,0,4,,,,,,,,,,,,,,,
Ethiopia ,0,1,0,1,0,0,1,,,,,,,,,,,,,,,
Finland ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
France ,2,18,1,5,16,0,21,,,,,,,,,,,,,,,
Gambia ,0,1,0,1,0,0,1,,,,,,,,,,,,,,,
Georgia ,1,0,0,0,1,0,1,,,,,,,,,,,,,,,
Germany ,3,12,0,2,13,0,15,,,,,,,,,,,,,,,
Ghana ,0,10,0,4,6,0,10,,,,,,,,,,,,,,,
Greece ,1,20,0,8,13,0,21,,,,,,,,,,,,,,,
Guatemala ,0,6,0,0,6,0,6,,,,,,,,,,,,,,,
Haiti ,0,1,0,0,1,0,1,,,,,,,,,,,,,,,
Honduras ,1,6,0,1,6,0,7,,,,,,,,,,,,,,,
Hong Kong ,17,14,2,9,24,0,33,,,,,,,,,,,,,,,
Hungary ,1,0,0,1,0,0,1,,,,,,,,,,,,,,,
India ,593,727,0,372,948,0,1320,,,,,,,,,,,,,,,
Indonesia ,82,48,0,51,79,0,130,,,,,,,,,,,,,,,
Iran ,0,76,0,26,50,0,76,,,,,,,,,,,,,,,
Ireland ,1,1,0,0,2,0,2,,,,,,,,,,,,,,,
Israel ,0,7,0,2,5,0,7,,,,,,,,,,,,,,,
Italy ,0,24,0,9,15,0,24,,,,,,,,,,,,,,,
Jamaica ,1,0,0,0,1,0,1,,,,,,,,,,,,,,,
Japan ,20,26,0,13,33,0,46,,,,,,,,,,,,,,,
Jordan ,1,22,0,4,19,0,23,,,,,,,,,,,,,,,
Kazakhstan ,2,23,0,12,13,0,25,,,,,,,,,,,,,,,
Kenya ,0,6,0,3,3,0,6,,,,,,,,,,,,,,,
Kuwait ,0,2,0,1,1,0,2,,,,,,,,,,,,,,,
Latvia ,0,2,0,2,0,0,2,,,,,,,,,,,,,,,
Lebanon ,3,32,0,12,23,0,35,,,,,,,,,,,,,,,
Libya ,0,2,0,1,1,0,2,,,,,,,,,,,,,,,
Macau ,2,1,0,3,0,0,3,,,,,,,,,,,,,,,
Malawi ,0,2,0,2,0,0,2,,,,,,,,,,,,,,,
Malaysia ,32,18,1,23,28,0,51,,,,,,,,,,,,,,,
Malta ,1,0,0,1,0,0,1,,,,,,,,,,,,,,,
Mexico ,13,31,3,15,32,0,47,,,,,,,,,,,,,,,
Moldova ,0,1,0,1,0,0,1,,,,,,,,,,,,,,,
Mongolia ,3,1,0,3,1,0,4,,,,,,,,,,,,,,,
