COUNTRY,SP21 UND,SP21 GRAD,SP21 PROF,SP21 F,SP21 M,SP21 UNK,SP21 ALL
Algeria ,0,1,0,1,0,0,1
Antigua and Barbuda ,1,0,0,0,1,0,1
Argentina ,1,10,0,5,6,0,11
Armenia ,0,2,0,1,1,0,2
Australia ,11,7,0,8,10,0,18
Austria ,4,3,0,6,1,0,7
Bahrain ,0,1,0,1,0,0,1
Bangladesh ,5,66,0,23,48,0,71
Belarus ,0,1,1,2,0,0,2
Belgium ,5,1,0,1,5,0,6
Belize ,3,0,0,1,2,0,3
Benin ,0,7,0,1,6,0,7
Bolivia ,1,3,0,2,2,0,4
Brazil ,15,67,0,25,57,0,82
Bulgaria ,0,1,0,0,1,0,1
Burkina Faso ,0,1,0,0,1,0,1
Cameroon ,0,1,0,0,1,0,1
Canada ,43,55,1,33,66,0,99
Chile ,1,12,0,4,9,0,13
China ,2791,2081,11,1819,3062,2,4883
Colombia ,2,37,0,14,25,0,39
Congo (Kinshasa) ,4,1,0,1,4,0,5
Costa Rica ,0,5,0,3,2,0,5
Cote D Ivoire ,0,1,0,0,1,0,1
Croatia ,2,0,0,1,1,0,2
Cyprus ,0,2,0,0,2,0,2
Denmark ,1,1,0,1,1,0,2
Dominican Republic ,0,7,0,4,3,0,7
Ecuador ,15,18,0,17,16,0,33
Egypt ,2,27,0,8,21,0,29
El Salvador ,0,5,0,2,3,0,5
Ethiopia ,0,2,0,2,0,0,2
Finland ,0,1,0,0,1,0,1
France ,3,17,1,6,15,0,21
Gambia ,0,1,0,1,0,0,1
Georgia ,1,0,0,0,1,0,1
Germany ,5,12,0,2,15,0,17
Ghana ,0,8,0,2,6,0,8
Greece ,1,17,0,7,11,0,18
Guatemala ,0,5,0,0,5,0,5
Haiti ,0,1,0,0,1,0,1
Honduras ,1,6,0,1,6,0,7
Hong Kong ,16,14,2,6,26,0,32
Hungary ,2,0,0,2,0,0,2
India ,597,749,0,382,964,0,1346
Indonesia ,72,42,0,42,72,0,114
Iran ,0,67,0,23,44,0,67
Ireland ,1,1,0,0,2,0,2
Israel ,0,6,0,1,5,0,6
Italy ,5,22,0,8,19,0,27
Japan ,20,24,0,12,32,0,44
Jordan ,1,23,0,5,19,0,24
Kazakhstan ,2,31,0,17,16,0,33
Kenya ,0,8,0,5,3,0,8
Kuwait ,1,1,0,0,2,0,2
Latvia ,0,2,0,2,0,0,2
Lebanon ,2,28,0,10,20,0,30
Libya ,0,2,0,1,1,0,2
Macau ,2,1,0,3,0,0,3
Malawi ,0,3,0,3,0,0,3
Malaysia ,31,16,1,21,27,0,48
Malta ,1,0,0,1,0,0,1
Mexico ,13,30,3,17,29,0,46
Moldova ,0,1,0,1,0,0,1
Mongolia ,3,1,0,3,1,0,4
Morocco ,0,1,0,0,1,0,1
Nepal ,0,21,0,8,13,0,21
Netherlands ,2,4,0,2,4,0,6
New Zealand ,2,2,0,2,2,0,4
Nigeria ,8,53,0,17,44,0,61
Oman ,1,0,0,0,1,0,1
Pakistan ,12,47,0,11,46,2,59
Panama ,2,5,0,1,6,0,7
Paraguay ,0,3,0,3,0,0,3
Peru ,3,19,0,9,13,0,22
Philippines ,2,6,0,3,5,0,8
Poland ,1,1,0,1,1,0,2
Portugal ,2,4,0,1,5,0,6
Romania ,0,5,0,0,5,0,5
Russia ,6,17,0,11,12,0,23
Saudi Arabia ,32,24,0,18,38,0,56
Serbia ,0,4,0,1,3,0,4
Sierra Leone ,0,2,0,1,1,0,2
Singapore ,34,25,0,22,37,0,59
South Africa ,3,2,0,3,2,0,5
South Korea ,382,373,12,298,468,1,767
Spain ,4,24,0,18,10,0,28
Sri Lanka ,1,15,0,3,13,0,16
Sweden ,0,1,0,1,0,0,1
Syria ,0,1,0,0,1,0,1
Taiwan ,86,192,0,114,164,0,278
Tanzania ,0,1,0,0,1,0,1
Thailand ,27,26,0,23,30,0,53
Timor-Leste ,0,2,0,0,2,0,2
Trinidad and Tobago ,1,0,0,0,1,0,1
Tunisia ,2,2,0,2,2,0,4
Turkey ,35,57,0,31,61,0,92
Uganda ,0,5,0,2,3,0,5
Ukraine ,3,5,0,3,5,0,8
United Arab Emirates ,4,0,0,2,2,0,4
United Kingdom ,10,20,0,10,20,0,30
Uruguay ,0,3,0,0,3,0,3
Uzbekistan ,0,1,0,0,1,0,1
Venezuela ,0,6,1,3,4,0,7
Vietnam ,17,32,0,17,32,0,49
West Bank ,0,3,0,1,2,0,3
Zambia ,0,1,0,0,1,0,1
Zimbabwe ,0,2,0,1,1,0,2
ALL,4369,4583,33,3213,5767,5,8985
CAMPUS TOTAL,32323,17987,1034,,,,51344
